tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover
000,00000000,00384041,00842121,010,00193082,00000000,00000000,001024,000,000,00000008,00193079,01,0000006503744435,00000000,00000000,001,002,016,016
001,00000000,00385298,00663436,010,00193602,00000000,00000000,001024,000,000,00000008,00193595,01,0000006499137821,00000000,00000000,001,002,016,016
002,00000000,00383582,00653847,010,00192879,00000000,00000000,001024,000,000,00000008,00192878,01,0000006521074421,00000000,00000000,001,002,016,016
003,00000000,00384337,00918637,010,00192963,00000000,00000000,001024,000,000,00000008,00192959,01,0000006505114537,00000000,00000000,001,002,016,016
004,00000000,00383627,00000000,010,00192523,00000000,00000000,001024,000,000,00000008,00192521,01,0000006250025873,00000000,00000000,001,002,016,016
005,00000000,00382789,00000000,010,00192466,00000000,00000000,001024,000,000,00000008,00192462,01,0000006326929636,00000000,00000000,001,002,016,016
006,00000000,00384689,00000000,010,00192978,00000000,00000000,001024,000,000,00000008,00192975,01,0000006468546763,00000000,00000000,001,002,016,016
007,00000000,00382514,00000000,010,00192233,00000000,00000000,001024,000,000,00000008,00192230,01,0000006342402205,00000000,00000000,001,002,016,016
008,00000000,00383665,00000000,010,00192888,00000000,00000000,001024,000,000,00000008,00192888,01,0000006453519609,00000000,00000000,001,002,016,016
009,00000000,00382780,00000000,010,00192506,00000000,00000000,001024,000,000,00000008,00192506,01,0000006386780558,00000000,00000000,001,002,016,016
010,00000000,00383163,00000000,010,00192554,00000000,00000000,001024,000,000,00000008,00192550,01,0000006389313856,00000000,00000000,001,002,016,016
011,00000000,00383838,00000000,010,00193043,00000000,00000000,001024,000,000,00000008,00193040,01,0000006333926402,00000000,00000000,001,002,016,016
012,00000000,00383141,00000000,010,00192608,00000000,00000000,001024,000,000,00000008,00192604,01,0000006247137210,00000000,00000000,001,002,016,016
013,00000000,00371702,00000000,010,00186562,00000000,00000000,001024,000,000,00000008,00186562,01,0000000707188074,00000000,00000000,001,002,016,016
014,00000000,00385183,00000000,010,00192912,00000000,00000000,001024,000,000,00000008,00192907,01,0000006329331536,00000000,00000000,001,002,016,016
015,00000000,00383042,00000000,010,00192287,00000000,00000000,001024,000,000,00000008,00192285,01,0000006185881754,00000000,00000000,001,002,016,016
000,00000000,00409640,00796639,010,00205812,00000000,00000000,001024,000,001,00000008,00205809,01,0000006818081886,00000000,00000000,001,002,016,016
001,00000000,00408999,00912488,010,00205891,00000000,00000000,001024,000,001,00000008,00205888,01,0000006820309439,00000000,00000000,001,002,016,016
002,00000000,00407765,00738002,010,00205095,00000000,00000000,001024,000,001,00000008,00205092,01,0000006868259159,00000000,00000000,001,002,016,016
003,00000000,00409968,00839811,010,00206100,00000000,00000000,001024,000,001,00000008,00206095,01,0000006852966182,00000000,00000000,001,002,016,016
004,00000000,00409902,00000000,010,00205878,00000000,00000000,001024,000,001,00000008,00205873,01,0000006711862759,00000000,00000000,001,002,016,016
005,00000000,00408817,00000000,010,00205398,00000000,00000000,001024,000,001,00000008,00205396,01,0000006610456643,00000000,00000000,001,002,016,016
006,00000000,00410979,00000000,010,00206485,00000000,00000000,001024,000,001,00000008,00206482,01,0000006862044196,00000000,00000000,001,002,016,016
007,00000000,00409612,00000000,010,00205829,00000000,00000000,001024,000,001,00000008,00205825,01,0000006694166396,00000000,00000000,001,002,016,016
008,00000000,00409875,00000000,010,00205879,00000000,00000000,001024,000,001,00000008,00205877,01,0000006841514527,00000000,00000000,001,002,016,016
009,00000000,00410865,00000000,010,00206555,00000000,00000000,001024,000,001,00000008,00206549,01,0000006857255671,00000000,00000000,001,002,016,016
010,00000000,00408836,00000000,010,00205571,00000000,00000000,001024,000,001,00000008,00205567,01,0000006756609868,00000000,00000000,001,002,016,016
011,00000000,00407731,00000000,010,00205254,00000000,00000000,001024,000,001,00000008,00205253,01,0000006664084343,00000000,00000000,001,002,016,016
012,00000000,00410106,00000000,010,00206327,00000000,00000000,001024,000,001,00000008,00206322,01,0000006394874341,00000000,00000000,001,002,016,016
013,00000000,00396189,00000000,010,00199204,00000000,00000000,001024,000,001,00000008,00199203,01,0000000728250703,00000000,00000000,001,002,016,016
014,00000000,00410079,00000000,010,00206018,00000000,00000000,001024,000,001,00000008,00206015,01,0000006489890877,00000000,00000000,001,002,016,016
015,00000000,00408577,00000000,010,00205697,00000000,00000000,001024,000,001,00000008,00205694,01,0000006627234758,00000000,00000000,001,002,016,016
000,00000000,00404366,00803274,010,00203223,00000000,00000000,001024,000,002,00000008,00203221,01,0000006734591066,00000000,00000000,001,002,016,016
001,00000000,00403847,00817378,010,00202830,00000000,00000000,001024,000,002,00000008,00202828,01,0000006745428387,00000000,00000000,001,002,016,016
