tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover,colocate
000,00000000,00817247,00005600,010,00513753,00000000,00000000,001024,000,000,00001024,00411632,01,0000014469697113,00000000,00000000,004,002,016,016,1
001,00000000,00818254,00004355,010,00514383,00000000,00000000,001024,000,000,00001024,00411864,01,0000014708229366,00000000,00000000,004,002,016,016,1
002,00000000,00818479,00004195,010,00513826,00000000,00000000,001024,000,000,00001024,00411898,01,0000014728001475,00000000,00000000,004,002,016,016,1
003,00000000,00820196,00004373,010,00514178,00000000,00000000,001024,000,000,00001024,00412826,01,0000014486596825,00000000,00000000,004,002,016,016,1
004,00000000,00820324,00017635,010,00515199,00000000,00000000,001024,000,000,00001024,00412366,01,0000014440957037,00000000,00000000,004,002,016,016,1
005,00000000,00817064,00005360,010,00512596,00000000,00000000,001024,000,000,00001024,00410696,01,0000014306560261,00000000,00000000,004,002,016,016,1
006,00000000,00820439,00004675,010,00514028,00000000,00000000,001024,000,000,00001024,00411926,01,0000014495398318,00000000,00000000,004,002,016,016,1
007,00000000,00816647,00004184,010,00511693,00000000,00000000,001024,000,000,00001024,00411007,01,0000014642148342,00000000,00000000,004,002,016,016,1
008,00000000,00818007,00004003,010,00516457,00000000,00000000,001024,000,000,00001024,00411228,01,0000014712172373,00000000,00000000,004,002,016,016,1
009,00000000,00820306,00004418,010,00516330,00000000,00000000,001024,000,000,00001024,00412234,01,0000013950728326,00000000,00000000,004,002,016,016,1
010,00000000,00818296,00006196,010,00515015,00000000,00000000,001024,000,000,00001024,00411449,01,0000014514912464,00000000,00000000,004,002,016,016,1
011,00000000,00817930,00011609,010,00515009,00000000,00000000,001024,000,000,00001024,00411188,01,0000014736145646,00000000,00000000,004,002,016,016,1
012,00000000,00817617,00005942,010,00515804,00000000,00000000,001024,000,000,00001024,00411610,01,0000014708078086,00000000,00000000,004,002,016,016,1
013,00000000,00816010,00004927,010,00512664,00000000,00000000,001024,000,000,00001024,00410251,01,0000014593746278,00000000,00000000,004,002,016,016,1
014,00000000,00817502,00006674,010,00513751,00000000,00000000,001024,000,000,00001024,00411139,01,0000014776165185,00000000,00000000,004,002,016,016,1
015,00000000,00788940,00005121,010,00496344,00000000,00000000,001024,000,000,00001024,00396510,01,0000004343732807,00000000,00000000,004,002,016,016,1
000,00000000,00612050,00004088,010,00379924,00000000,00000000,001024,001,000,00001024,00307787,01,0000011882648340,00000000,00000000,004,002,016,016,1
001,00000000,00612059,00003228,010,00381133,00000000,00000000,001024,001,000,00001024,00308035,01,0000011948866528,00000000,00000000,004,002,016,016,1
002,00000000,00614830,00003285,010,00381779,00000000,00000000,001024,001,000,00001024,00309143,01,0000012174714135,00000000,00000000,004,002,016,016,1
003,00000000,00611723,00003298,010,00382637,00000000,00000000,001024,001,000,00001024,00308208,01,0000012223225091,00000000,00000000,004,002,016,016,1
004,00000000,00613020,00013411,010,00381249,00000000,00000000,001024,001,000,00001024,00308570,01,0000012016528039,00000000,00000000,004,002,016,016,1
005,00000000,00591577,00004069,010,00368474,00000000,00000000,001024,001,000,00001024,00297753,01,0000003719853782,00000000,00000000,004,002,016,016,1
006,00000000,00613164,00003532,010,00381842,00000000,00000000,001024,001,000,00001024,00308340,01,0000012061441315,00000000,00000000,004,002,016,016,1
007,00000000,00614053,00003184,010,00381300,00000000,00000000,001024,001,000,00001024,00309566,01,0000012222990402,00000000,00000000,004,002,016,016,1
008,00000000,00609591,00002917,010,00379601,00000000,00000000,001024,001,000,00001024,00306824,01,0000012234651801,00000000,00000000,004,002,016,016,1
009,00000000,00612337,00003318,010,00381527,00000000,00000000,001024,001,000,00001024,00308776,01,0000012254322754,00000000,00000000,004,002,016,016,1
010,00000000,00611944,00004742,010,00380748,00000000,00000000,001024,001,000,00001024,00307901,01,0000012201700378,00000000,00000000,004,002,016,016,1
011,00000000,00613831,00008811,010,00380924,00000000,00000000,001024,001,000,00001024,00308903,01,0000012236721699,00000000,00000000,004,002,016,016,1
012,00000000,00611483,00004450,010,00381134,00000000,00000000,001024,001,000,00001024,00307756,01,0000012179286252,00000000,00000000,004,002,016,016,1
013,00000000,00612661,00003563,010,00380664,00000000,00000000,001024,001,000,00001024,00308017,01,0000012242118323,00000000,00000000,004,002,016,016,1
014,00000000,00613741,00005108,010,00381932,00000000,00000000,001024,001,000,00001024,00309098,01,0000012210849035,00000000,00000000,004,002,016,016,1
015,00000000,00613353,00003730,010,00381284,00000000,00000000,001024,001,000,00001024,00308392,01,0000012201226646,00000000,00000000,004,002,016,016,1
000,00000000,00132240,00000926,010,00088132,00000000,00000000,001024,002,000,00001024,00066479,01,0000014246617602,00000000,00000000,004,002,016,016,1
001,00000000,00132032,00000692,010,00088297,00000000,00000000,001024,002,000,00001024,00066584,01,0000014467995141,00000000,00000000,004,002,016,016,1
002,00000000,00132141,00000743,010,00088324,00000000,00000000,001024,002,000,00001024,00066621,01,0000014256365871,00000000,00000000,004,002,016,016,1
003,00000000,00132246,00000693,010,00087955,00000000,00000000,001024,002,000,00001024,00066723,01,0000014632066092,00000000,00000000,004,002,016,016,1
004,00000000,00132225,00002935,010,00088040,00000000,00000000,001024,002,000,00001024,00066521,01,0000014268085740,00000000,00000000,004,002,016,016,1
005,00000000,00132495,00000882,010,00087830,00000000,00000000,001024,002,000,00001024,00066155,01,0000014259527135,00000000,00000000,004,002,016,016,1
006,00000000,00132291,00000773,010,00087323,00000000,00000000,001024,002,000,00001024,00066139,01,0000014274978599,00000000,00000000,004,002,016,016,1
007,00000000,00132389,00000660,010,00087631,00000000,00000000,001024,002,000,00001024,00066069,01,0000014645616236,00000000,00000000,004,002,016,016,1
008,00000000,00132168,00000629,010,00087404,00000000,00000000,001024,002,000,00001024,00066372,01,0000014525823127,00000000,00000000,004,002,016,016,1
009,00000000,00132358,00000751,010,00087790,00000000,00000000,001024,002,000,00001024,00066546,01,0000014263368658,00000000,00000000,004,002,016,016,1
010,00000000,00132339,00001074,010,00088063,00000000,00000000,001024,002,000,00001024,00066541,01,0000014263247774,00000000,00000000,004,002,016,016,1
011,00000000,00132564,00001901,010,00087949,00000000,00000000,001024,002,000,00001024,00066212,01,0000014874322146,00000000,00000000,004,002,016,016,1
012,00000000,00132438,00000988,010,00087498,00000000,00000000,001024,002,000,00001024,00066374,01,0000014482164197,00000000,00000000,004,002,016,016,1
013,00000000,00132241,00000797,010,00087883,00000000,00000000,001024,002,000,00001024,00066340,01,0000013998426977,00000000,00000000,004,002,016,016,1
014,00000000,00132281,00001125,010,00088199,00000000,00000000,001024,002,000,00001024,00066223,01,0000014471035792,00000000,00000000,004,002,016,016,1
015,00000000,00132284,00000827,010,00087649,00000000,00000000,001024,002,000,00001024,00066461,01,0000014670036227,00000000,00000000,004,002,016,016,1
000,00000000,00244733,00001656,010,00162150,00000000,00000000,001024,003,000,00001024,00122684,01,0000014012780128,00000000,00000000,004,002,016,016,1
001,00000000,00244893,00001274,010,00160938,00000000,00000000,001024,003,000,00001024,00122990,01,0000014792617884,00000000,00000000,004,002,016,016,1
002,00000000,00245236,00001279,010,00160347,00000000,00000000,001024,003,000,00001024,00122828,01,0000014095440984,00000000,00000000,004,002,016,016,1
003,00000000,00244887,00001252,010,00161643,00000000,00000000,001024,003,000,00001024,00122712,01,0000014190581713,00000000,00000000,004,002,016,016,1
004,00000000,00244984,00005354,010,00161306,00000000,00000000,001024,003,000,00001024,00122792,01,0000013253357668,00000000,00000000,004,002,016,016,1
005,00000000,00245165,00001657,010,00160643,00000000,00000000,001024,003,000,00001024,00122790,01,0000014980139353,00000000,00000000,004,002,016,016,1
006,00000000,00244877,00001401,010,00160871,00000000,00000000,001024,003,000,00001024,00122674,01,0000014046087894,00000000,00000000,004,002,016,016,1
007,00000000,00245053,00001250,010,00160843,00000000,00000000,001024,003,000,00001024,00122744,01,0000014150142847,00000000,00000000,004,002,016,016,1
008,00000000,00244749,00001236,010,00160665,00000000,00000000,001024,003,000,00001024,00122949,01,0000014419307269,00000000,00000000,004,002,016,016,1
009,00000000,00244654,00001271,010,00161245,00000000,00000000,001024,003,000,00001024,00122869,01,0000014480986106,00000000,00000000,004,002,016,016,1
010,00000000,00244701,00001899,010,00160934,00000000,00000000,001024,003,000,00001024,00122727,01,0000014539977473,00000000,00000000,004,002,016,016,1
011,00000000,00244573,00003420,010,00162199,00000000,00000000,001024,003,000,00001024,00122690,01,0000014357765296,00000000,00000000,004,002,016,016,1
012,00000000,00245115,00001736,010,00160610,00000000,00000000,001024,003,000,00001024,00122543,01,0000014377880334,00000000,00000000,004,002,016,016,1
013,00000000,00244697,00001393,010,00160752,00000000,00000000,001024,003,000,00001024,00122671,01,0000014219817789,00000000,00000000,004,002,016,016,1
014,00000000,00244903,00002051,010,00160936,00000000,00000000,001024,003,000,00001024,00123045,01,0000013321403432,00000000,00000000,004,002,016,016,1
015,00000000,00244501,00001526,010,00160850,00000000,00000000,001024,003,000,00001024,00122615,01,0000014091250499,00000000,00000000,004,002,016,016,1
000,00000000,00608215,00004221,010,00381123,00000000,00000000,001024,000,001,00001024,00306163,01,0000011265372380,00000000,00000000,004,002,016,016,1
001,00000000,00604185,00003349,010,00380008,00000000,00000000,001024,000,001,00001024,00304858,01,0000010936611919,00000000,00000000,004,002,016,016,1
002,00000000,00604928,00003326,010,00379842,00000000,00000000,001024,000,001,00001024,00304570,01,0000011180044205,00000000,00000000,004,002,016,016,1
003,00000000,00601914,00003831,010,00379340,00000000,00000000,001024,000,001,00001024,00302952,01,0000011024455270,00000000,00000000,004,002,016,016,1
004,00000000,00604332,00018433,010,00380319,00000000,00000000,001024,000,001,00001024,00304547,01,0000010990726579,00000000,00000000,004,002,016,016,1
005,00000000,00606901,00003515,010,00380823,00000000,00000000,001024,000,001,00001024,00305418,01,0000011016849136,00000000,00000000,004,002,016,016,1
006,00000000,00604521,00003418,010,00379766,00000000,00000000,001024,000,001,00001024,00304525,01,0000011220026953,00000000,00000000,004,002,016,016,1
007,00000000,00600878,00004573,010,00379515,00000000,00000000,001024,000,001,00001024,00302886,01,0000011184103994,00000000,00000000,004,002,016,016,1
008,00000000,00603940,00003084,010,00378262,00000000,00000000,001024,000,001,00001024,00304006,01,0000011125474938,00000000,00000000,004,002,016,016,1
009,00000000,00602750,00003481,010,00379495,00000000,00000000,001024,000,001,00001024,00303555,01,0000011053755830,00000000,00000000,004,002,016,016,1
010,00000000,00602549,00009274,010,00377851,00000000,00000000,001024,000,001,00001024,00303129,01,0000011050023260,00000000,00000000,004,002,016,016,1
011,00000000,00604239,00009305,010,00379648,00000000,00000000,001024,000,001,00001024,00303964,01,0000010497459428,00000000,00000000,004,002,016,016,1
012,00000000,00604323,00004948,010,00380192,00000000,00000000,001024,000,001,00001024,00304572,01,0000011244643527,00000000,00000000,004,002,016,016,1
013,00000000,00605433,00005286,010,00379251,00000000,00000000,001024,000,001,00001024,00304262,01,0000011272828887,00000000,00000000,004,002,016,016,1
014,00000000,00601752,00004442,010,00378402,00000000,00000000,001024,000,001,00001024,00303046,01,0000011243273601,00000000,00000000,004,002,016,016,1
015,00000000,00585460,00004119,010,00368083,00000000,00000000,001024,000,001,00001024,00294429,01,0000003419875727,00000000,00000000,004,002,016,016,1
000,00000000,00725533,00004947,010,00459511,00000000,00000000,001024,001,001,00001024,00364697,01,0000013973108551,00000000,00000000,004,002,016,016,1
001,00000000,00727594,00004029,010,00459844,00000000,00000000,001024,001,001,00001024,00366048,01,0000014102440295,00000000,00000000,004,002,016,016,1
002,00000000,00727671,00003999,010,00459285,00000000,00000000,001024,001,001,00001024,00365801,01,0000014323096323,00000000,00000000,004,002,016,016,1
003,00000000,00726184,00004667,010,00461187,00000000,00000000,001024,001,001,00001024,00365655,01,0000014345034363,00000000,00000000,004,002,016,016,1
004,00000000,00727577,00022100,010,00460559,00000000,00000000,001024,001,001,00001024,00365878,01,0000014202983367,00000000,00000000,004,002,016,016,1
005,00000000,00726594,00004192,010,00462613,00000000,00000000,001024,001,001,00001024,00365817,01,0000014349474235,00000000,00000000,004,002,016,016,1
006,00000000,00724908,00003988,010,00459913,00000000,00000000,001024,001,001,00001024,00364896,01,0000013678148536,00000000,00000000,004,002,016,016,1
007,00000000,00697249,00005431,010,00442602,00000000,00000000,001024,001,001,00001024,00350780,01,0000004384677364,00000000,00000000,004,002,016,016,1
008,00000000,00724159,00003681,010,00459198,00000000,00000000,001024,001,001,00001024,00364521,01,0000014228972359,00000000,00000000,004,002,016,016,1
