tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover
000,00000000,00412383,00793989,010,00207710,00000000,00000000,001024,000,000,00000008,00207649,01,0000005426629276,00000000,00000000,001,002,016,016
001,00000000,00414329,00855815,010,00208596,00000000,00000000,001024,000,000,00000008,00208497,01,0000005441268717,00000000,00000000,001,002,016,016
002,00000000,00414356,00732692,010,00207914,00000000,00000000,001024,000,000,00000008,00207842,01,0000005493762499,00000000,00000000,001,002,016,016
003,00000000,00412527,00937610,010,00207290,00000000,00000000,001024,000,000,00000008,00207212,01,0000005446508308,00000000,00000000,001,002,016,016
004,00000000,00414670,00000000,010,00208404,00000000,00000000,001024,000,000,00000008,00208299,01,0000005466313996,00000000,00000000,001,002,016,016
005,00000000,00413180,00000000,010,00207771,00000000,00000000,001024,000,000,00000008,00207648,01,0000005454388231,00000000,00000000,001,002,016,016
006,00000000,00413083,00000000,010,00207592,00000000,00000000,001024,000,000,00000008,00207541,01,0000005462802026,00000000,00000000,001,002,016,016
007,00000000,00413307,00000000,010,00208025,00000000,00000000,001024,000,000,00000008,00207923,01,0000005542838375,00000000,00000000,001,002,016,016
008,00000000,00413416,00000000,010,00207984,00000000,00000000,001024,000,000,00000008,00207937,01,0000005465610214,00000000,00000000,001,002,016,016
009,00000000,00412161,00000000,010,00207480,00000000,00000000,001024,000,000,00000008,00207437,01,0000005456243209,00000000,00000000,001,002,016,016
010,00000000,00413789,00000000,010,00208054,00000000,00000000,001024,000,000,00000008,00207987,01,0000005432063983,00000000,00000000,001,002,016,016
011,00000000,00414282,00000000,010,00208218,00000000,00000000,001024,000,000,00000008,00208162,01,0000005444072198,00000000,00000000,001,002,016,016
012,00000000,00412304,00000000,010,00207188,00000000,00000000,001024,000,000,00000008,00207120,01,0000005550543388,00000000,00000000,001,002,016,016
013,00000000,00401624,00000000,010,00202234,00000000,00000000,001024,000,000,00000008,00202188,01,0000001327330662,00000000,00000000,001,002,016,016
014,00000000,00413988,00000000,010,00208438,00000000,00000000,001024,000,000,00000008,00208382,01,0000005515371955,00000000,00000000,001,002,016,016
015,00000000,00414449,00000000,010,00208331,00000000,00000000,001024,000,000,00000008,00208282,01,0000005338115687,00000000,00000000,001,002,016,016
000,00000000,00363011,00945391,010,00182376,00000000,00000000,001024,000,001,00000008,00182317,01,0000004771855441,00000000,00000000,001,002,016,016
001,00000000,00363183,00649574,010,00182466,00000000,00000000,001024,000,001,00000008,00182418,01,0000004778778438,00000000,00000000,001,002,016,016
002,00000000,00360742,00663965,010,00181266,00000000,00000000,001024,000,001,00000008,00181222,01,0000004796017275,00000000,00000000,001,002,016,016
003,00000000,00360551,00644297,010,00181450,00000000,00000000,001024,000,001,00000008,00181386,01,0000004809360149,00000000,00000000,001,002,016,016
004,00000000,00361281,00000000,010,00181954,00000000,00000000,001024,000,001,00000008,00181908,01,0000004878786864,00000000,00000000,001,002,016,016
005,00000000,00361454,00000000,010,00181828,00000000,00000000,001024,000,001,00000008,00181791,01,0000004811116857,00000000,00000000,001,002,016,016
006,00000000,00361864,00000000,010,00182239,00000000,00000000,001024,000,001,00000008,00182194,01,0000004819917162,00000000,00000000,001,002,016,016
007,00000000,00360427,00000000,010,00181445,00000000,00000000,001024,000,001,00000008,00181424,01,0000004797574022,00000000,00000000,001,002,016,016
008,00000000,00351777,00000000,010,00177057,00000000,00000000,001024,000,001,00000008,00177029,01,0000001269029953,00000000,00000000,001,002,016,016
009,00000000,00361061,00000000,010,00181335,00000000,00000000,001024,000,001,00000008,00181299,01,0000004821794946,00000000,00000000,001,002,016,016
010,00000000,00361075,00000000,010,00181425,00000000,00000000,001024,000,001,00000008,00181388,01,0000004802026128,00000000,00000000,001,002,016,016
011,00000000,00360810,00000000,010,00181650,00000000,00000000,001024,000,001,00000008,00181609,01,0000004852948542,00000000,00000000,001,002,016,016
012,00000000,00361003,00000000,010,00181571,00000000,00000000,001024,000,001,00000008,00181540,01,0000004855145826,00000000,00000000,001,002,016,016
013,00000000,00361150,00000000,010,00181381,00000000,00000000,001024,000,001,00000008,00181345,01,0000004808083923,00000000,00000000,001,002,016,016
014,00000000,00360604,00000000,010,00181355,00000000,00000000,001024,000,001,00000008,00181319,01,0000004820546227,00000000,00000000,001,002,016,016
