tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover
000,00000000,00532478,00004526,010,00332155,00014004,00000000,001024,000,000,00001024,00268014,01,0000013682497629,00000000,00000000,004,002,016,016
001,00000000,00532155,00002652,010,00337052,00013923,00000000,001024,000,000,00001024,00267484,01,0000013455804814,00000000,00000000,004,002,016,016
002,00000000,00529275,00003652,010,00335491,00013937,00000000,001024,000,000,00001024,00266489,01,0000013655623244,00000000,00000000,004,002,016,016
003,00000000,00533357,00002473,010,00329966,00014115,00000000,001024,000,000,00001024,00267778,01,0000013589643814,00000000,00000000,004,002,016,016
004,00000000,00531777,00011837,010,00335833,00014137,00000000,001024,000,000,00001024,00267405,01,0000013813210263,00000000,00000000,004,002,016,016
005,00000000,00532190,00003080,010,00335420,00014005,00000000,001024,000,000,00001024,00267899,01,0000013836452429,00000000,00000000,004,002,016,016
006,00000000,00533202,00002781,010,00334246,00013983,00000000,001024,000,000,00001024,00268368,01,0000013588892223,00000000,00000000,004,002,016,016
007,00000000,00532287,00003554,010,00335611,00013916,00000000,001024,000,000,00001024,00267914,01,0000013480007168,00000000,00000000,004,002,016,016
008,00000000,00530055,00002683,010,00334908,00014100,00000000,001024,000,000,00001024,00267083,01,0000013785210821,00000000,00000000,004,002,016,016
009,00000000,00532577,00003027,010,00338194,00013943,00000000,001024,000,000,00001024,00268125,01,0000013770048643,00000000,00000000,004,002,016,016
010,00000000,00533271,00003851,010,00335074,00014116,00000000,001024,000,000,00001024,00268519,01,0000013550366091,00000000,00000000,004,002,016,016
011,00000000,00531163,00008063,010,00334364,00014083,00000000,001024,000,000,00001024,00267532,01,0000013760297253,00000000,00000000,004,002,016,016
012,00000000,00533251,00003959,010,00335695,00013863,00000000,001024,000,000,00001024,00268549,01,0000013485296295,00000000,00000000,004,002,016,016
013,00000000,00532276,00003573,010,00337426,00013966,00000000,001024,000,000,00001024,00267817,01,0000013685905218,00000000,00000000,004,002,016,016
014,00000000,00533256,00003737,010,00335961,00013946,00000000,001024,000,000,00001024,00267929,01,0000013525505364,00000000,00000000,004,002,016,016
015,00000000,00515716,00002594,010,00322147,00013740,00000000,001024,000,000,00001024,00259696,01,0000004485986334,00000000,00000000,004,002,016,016
000,00000000,00643280,00005313,010,00389588,00017149,00000000,001024,001,000,00001024,00323923,01,0000013652972337,00000000,00000000,004,002,016,016
001,00000000,00643152,00003254,010,00389653,00017388,00000000,001024,001,000,00001024,00323880,01,0000013659547118,00000000,00000000,004,002,016,016
002,00000000,00641350,00004485,010,00389148,00017425,00000000,001024,001,000,00001024,00322894,01,0000013902313291,00000000,00000000,004,002,016,016
003,00000000,00643236,00003021,010,00387043,00017336,00000000,001024,001,000,00001024,00323633,01,0000012991384797,00000000,00000000,004,002,016,016
004,00000000,00637243,00014357,010,00388001,00017372,00000000,001024,001,000,00001024,00321486,01,0000013753287532,00000000,00000000,004,002,016,016
005,00000000,00621843,00003631,010,00373376,00016977,00000000,001024,001,000,00001024,00312335,01,0000004383135401,00000000,00000000,004,002,016,016
006,00000000,00641104,00003401,010,00391482,00017147,00000000,001024,001,000,00001024,00322382,01,0000013999100628,00000000,00000000,004,002,016,016
007,00000000,00643759,00004423,010,00389617,00017211,00000000,001024,001,000,00001024,00323628,01,0000013722233654,00000000,00000000,004,002,016,016
008,00000000,00643777,00003409,010,00389852,00017445,00000000,001024,001,000,00001024,00323798,01,0000014004019507,00000000,00000000,004,002,016,016
009,00000000,00641657,00003514,010,00386389,00017462,00000000,001024,001,000,00001024,00323196,01,0000013639462879,00000000,00000000,004,002,016,016
010,00000000,00641934,00004600,010,00388940,00017344,00000000,001024,001,000,00001024,00323162,01,0000013731834744,00000000,00000000,004,002,016,016
011,00000000,00642544,00009765,010,00387880,00017439,00000000,001024,001,000,00001024,00322889,01,0000013290941525,00000000,00000000,004,002,016,016
012,00000000,00643152,00005032,010,00388596,00017281,00000000,001024,001,000,00001024,00323586,01,0000013053503558,00000000,00000000,004,002,016,016
013,00000000,00642454,00004286,010,00388700,00017427,00000000,001024,001,000,00001024,00323614,01,0000013157800681,00000000,00000000,004,002,016,016
014,00000000,00642084,00004513,010,00389018,00017313,00000000,001024,001,000,00001024,00322826,01,0000013617420045,00000000,00000000,004,002,016,016
015,00000000,00643855,00003258,010,00389299,00017277,00000000,001024,001,000,00001024,00324230,01,0000013931646773,00000000,00000000,004,002,016,016
000,00000000,00112564,00000968,010,00086692,00001801,00000000,001024,002,000,00001024,00056493,01,0000013905786665,00000000,00000000,004,002,016,016
001,00000000,00112384,00000566,010,00085244,00001966,00000000,001024,002,000,00001024,00056405,01,0000014249133273,00000000,00000000,004,002,016,016
002,00000000,00112557,00000770,010,00084176,00001935,00000000,001024,002,000,00001024,00056458,01,0000013887963697,00000000,00000000,004,002,016,016
003,00000000,00112372,00000506,010,00086588,00001885,00000000,001024,002,000,00001024,00056581,01,0000013914232690,00000000,00000000,004,002,016,016
004,00000000,00112534,00002495,010,00085506,00001943,00000000,001024,002,000,00001024,00056396,01,0000014278230169,00000000,00000000,004,002,016,016
005,00000000,00112308,00000640,010,00087071,00001937,00000000,001024,002,000,00001024,00056159,01,0000014270109002,00000000,00000000,004,002,016,016
006,00000000,00112586,00000568,010,00085990,00001928,00000000,001024,002,000,00001024,00056673,01,0000014037042001,00000000,00000000,004,002,016,016
007,00000000,00112207,00000693,010,00085918,00001877,00000000,001024,002,000,00001024,00056423,01,0000013907871181,00000000,00000000,004,002,016,016
008,00000000,00112985,00000529,010,00085156,00001797,00000000,001024,002,000,00001024,00056561,01,0000014302302759,00000000,00000000,004,002,016,016
009,00000000,00112292,00000598,010,00086178,00001913,00000000,001024,002,000,00001024,00056621,01,0000014271230072,00000000,00000000,004,002,016,016
010,00000000,00112574,00000815,010,00085649,00001849,00000000,001024,002,000,00001024,00056619,01,0000013950622725,00000000,00000000,004,002,016,016
011,00000000,00112565,00001800,010,00085728,00001909,00000000,001024,002,000,00001024,00056450,01,0000013905274520,00000000,00000000,004,002,016,016
012,00000000,00112628,00000821,010,00085620,00001864,00000000,001024,002,000,00001024,00056182,01,0000013925581798,00000000,00000000,004,002,016,016
013,00000000,00112817,00000731,010,00084334,00001859,00000000,001024,002,000,00001024,00056370,01,0000013296436038,00000000,00000000,004,002,016,016
