tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover
000,00000000,00380341,00744037,010,00191561,00000000,00000000,001024,000,000,00000008,00191561,01,0000006550974620,00000000,00000000,001,002,016,016
001,00000000,00380739,00913068,010,00191365,00000000,00000000,001024,000,000,00000008,00191365,01,0000006565058059,00000000,00000000,001,002,016,016
002,00000000,00380421,00709495,010,00191439,00000000,00000000,001024,000,000,00000008,00191439,01,0000006573717019,00000000,00000000,001,002,016,016
003,00000000,00380543,00688107,010,00191395,00000000,00000000,001024,000,000,00000008,00191395,01,0000006565010768,00000000,00000000,001,002,016,016
004,00000000,00380159,00000000,010,00191104,00000000,00000000,001024,000,000,00000008,00191104,01,0000006443774842,00000000,00000000,001,002,016,016
005,00000000,00382570,00000000,010,00191826,00000000,00000000,001024,000,000,00000008,00191826,01,0000006466848816,00000000,00000000,001,002,016,016
006,00000000,00378756,00000000,010,00190078,00000000,00000000,001024,000,000,00000008,00190078,01,0000006406216529,00000000,00000000,001,002,016,016
007,00000000,00381978,00000000,010,00191757,00000000,00000000,001024,000,000,00000008,00191757,01,0000006485282331,00000000,00000000,001,002,016,016
008,00000000,00381957,00000000,010,00190913,00000000,00000000,001024,000,000,00000008,00190913,01,0000006366681328,00000000,00000000,001,002,016,016
009,00000000,00382327,00000000,010,00192067,00000000,00000000,001024,000,000,00000008,00192067,01,0000006547345375,00000000,00000000,001,002,016,016
010,00000000,00379306,00000000,010,00190559,00000000,00000000,001024,000,000,00000008,00190559,01,0000006607126433,00000000,00000000,001,002,016,016
011,00000000,00380464,00000000,010,00191504,00000000,00000000,001024,000,000,00000008,00191504,01,0000006452985481,00000000,00000000,001,002,016,016
012,00000000,00380015,00000000,010,00191289,00000000,00000000,001024,000,000,00000008,00191289,01,0000006244549578,00000000,00000000,001,002,016,016
013,00000000,00381096,00000000,010,00190950,00000000,00000000,001024,000,000,00000008,00190950,01,0000006474083248,00000000,00000000,001,002,016,016
014,00000000,00380938,00000000,010,00191227,00000000,00000000,001024,000,000,00000008,00191227,01,0000006358909189,00000000,00000000,001,002,016,016
015,00000000,00370308,00000000,010,00185673,00000000,00000000,001024,000,000,00000008,00185673,01,0000000638871191,00000000,00000000,001,002,016,016
000,00000000,00363885,00915084,010,00183067,00000000,00000000,001024,000,001,00000008,00183067,01,0000006275372896,00000000,00000000,001,002,016,016
001,00000000,00363956,00649410,010,00182977,00000000,00000000,001024,000,001,00000008,00182977,01,0000006299821658,00000000,00000000,001,002,016,016
002,00000000,00363243,00666413,010,00182454,00000000,00000000,001024,000,001,00000008,00182454,01,0000006253900347,00000000,00000000,001,002,016,016
003,00000000,00361792,00686022,010,00182536,00000000,00000000,001024,000,001,00000008,00182536,01,0000006339678270,00000000,00000000,001,002,016,016
004,00000000,00363251,00000000,010,00182641,00000000,00000000,001024,000,001,00000008,00182641,01,0000006182481590,00000000,00000000,001,002,016,016
005,00000000,00363598,00000000,010,00182475,00000000,00000000,001024,000,001,00000008,00182475,01,0000006221210123,00000000,00000000,001,002,016,016
006,00000000,00363846,00000000,010,00182864,00000000,00000000,001024,000,001,00000008,00182864,01,0000006094788731,00000000,00000000,001,002,016,016
007,00000000,00363929,00000000,010,00183076,00000000,00000000,001024,000,001,00000008,00183076,01,0000006195644714,00000000,00000000,001,002,016,016
008,00000000,00363182,00000000,010,00182278,00000000,00000000,001024,000,001,00000008,00182278,01,0000006147187881,00000000,00000000,001,002,016,016
009,00000000,00362836,00000000,010,00182407,00000000,00000000,001024,000,001,00000008,00182407,01,0000006352249930,00000000,00000000,001,002,016,016
010,00000000,00363781,00000000,010,00182600,00000000,00000000,001024,000,001,00000008,00182600,01,0000006359147546,00000000,00000000,001,002,016,016
011,00000000,00364506,00000000,010,00182937,00000000,00000000,001024,000,001,00000008,00182937,01,0000006208250495,00000000,00000000,001,002,016,016
012,00000000,00363440,00000000,010,00182793,00000000,00000000,001024,000,001,00000008,00182793,01,0000006123460995,00000000,00000000,001,002,016,016
013,00000000,00362668,00000000,010,00182072,00000000,00000000,001024,000,001,00000008,00182072,01,0000006208306296,00000000,00000000,001,002,016,016
014,00000000,00362477,00000000,010,00182317,00000000,00000000,001024,000,001,00000008,00182317,01,0000006124192600,00000000,00000000,001,002,016,016
015,00000000,00353262,00000000,010,00177435,00000000,00000000,001024,000,001,00000008,00177435,01,0000000614708237,00000000,00000000,001,002,016,016
000,00000000,00396608,00788062,010,00199658,00000000,00000000,001024,000,002,00000008,00199658,01,0000006776787722,00000000,00000000,001,002,016,016
001,00000000,00398698,00895942,010,00199977,00000000,00000000,001024,000,002,00000008,00199977,01,0000006838961718,00000000,00000000,001,002,016,016
002,00000000,00397527,00692854,010,00199763,00000000,00000000,001024,000,002,00000008,00199763,01,0000006865621181,00000000,00000000,001,002,016,016
003,00000000,00398092,00816907,010,00199899,00000000,00000000,001024,000,002,00000008,00199899,01,0000006818423107,00000000,00000000,001,002,016,016
004,00000000,00396586,00000000,010,00199723,00000000,00000000,001024,000,002,00000008,00199723,01,0000006477484675,00000000,00000000,001,002,016,016
005,00000000,00398540,00000000,010,00199941,00000000,00000000,001024,000,002,00000008,00199941,01,0000006727129973,00000000,00000000,001,002,016,016
006,00000000,00398212,00000000,010,00199887,00000000,00000000,001024,000,002,00000008,00199887,01,0000006578665334,00000000,00000000,001,002,016,016
007,00000000,00397214,00000000,010,00199636,00000000,00000000,001024,000,002,00000008,00199636,01,0000006727078652,00000000,00000000,001,002,016,016
008,00000000,00398735,00000000,010,00200038,00000000,00000000,001024,000,002,00000008,00200038,01,0000006544079833,00000000,00000000,001,002,016,016
009,00000000,00398892,00000000,010,00200402,00000000,00000000,001024,000,002,00000008,00200402,01,0000006768567737,00000000,00000000,001,002,016,016
010,00000000,00397785,00000000,010,00200400,00000000,00000000,001024,000,002,00000008,00200400,01,0000006680110782,00000000,00000000,001,002,016,016
