lock_hold,lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,end_to_end,array_size,nodeID,run,lockNR,numa,cnNR,mnNR,threadNR,maxHandover
0000000,0000170,0000020,0001004,0004939,0004749,0004870,0000009,001024,000,000,00001024,01,004,004,016,016
0000000,0001565,0000441,0001420,0011491,0011351,0011411,0000516,001024,000,000,00001024,01,004,004,016,016
0000000,0000170,0000030,0001008,0009518,0009408,0009448,0000010,001024,001,000,00001024,01,004,004,016,016
0000000,0001673,0000411,0001527,0011641,0011612,0011542,0000630,001024,001,000,00001024,01,004,004,016,016
0000000,0000180,0000030,0001004,0005140,0004939,0005080,0000010,001024,002,000,00001024,01,004,004,016,016
0000000,0001571,0000390,0001430,0011100,0010941,0011030,0000519,001024,002,000,00001024,01,004,004,016,016
0000000,0000171,0000040,0001004,0005139,0004919,0005079,0000010,001024,003,000,00001024,01,004,004,016,016
0000000,0001392,0000491,0001346,0011151,0011051,0011081,0000363,001024,003,000,00001024,01,004,004,016,016
0000000,0000170,0000020,0001004,0004949,0004759,0004879,0000009,001024,000,001,00001024,01,004,004,016,016
0000000,0001567,0000441,0001418,0011481,0011332,0011401,0000518,001024,000,001,00001024,01,004,004,016,016
0000000,0000170,0000030,0001008,0009517,0009408,0009447,0000010,001024,001,001,00001024,01,004,004,016,016
0000000,0001679,0000410,0001526,0011612,0011582,0011531,0000635,001024,001,001,00001024,01,004,004,016,016
0000000,0000171,0000030,0001004,0005149,0004939,0005080,0000010,001024,002,001,00001024,01,004,004,016,016
0000000,0001573,0000381,0001437,0011111,0010951,0011031,0000523,001024,002,001,00001024,01,004,004,016,016
0000000,0000171,0000040,0001004,0005129,0004919,0005060,0000010,001024,003,001,00001024,01,004,004,016,016
0000000,0001390,0000481,0001331,0011140,0011041,0011061,0000363,001024,003,001,00001024,01,004,004,016,016
0000000,0000171,0000031,0001004,0004879,0004719,0004819,0000008,001024,000,002,00001024,01,004,004,016,016
0000000,0001629,0000501,0001441,0011352,0011201,0011281,0000568,001024,000,002,00001024,01,004,004,016,016
0000000,0000171,0000031,0001003,0005040,0004809,0004970,0000009,001024,001,002,00001024,01,004,004,016,016
0000000,0001423,0000481,0001370,0011110,0011011,0011031,0000390,001024,001,002,00001024,01,004,004,016,016
0000000,0000171,0000030,0001008,0009668,0009497,0009598,0000010,001024,002,002,00001024,01,004,004,016,016
0000000,0001861,0000370,0001665,0011762,0011561,0011671,0000794,001024,002,002,00001024,01,004,004,016,016
0000000,0000171,0000030,0001003,0005070,0004889,0005010,0000009,001024,003,002,00001024,01,004,004,016,016
0000000,0001619,0000401,0001512,0010900,0010760,0010830,0000562,001024,003,002,00001024,01,004,004,016,016
0000000,0000180,0000030,0001004,0004859,0004609,0004759,0000008,001024,000,000,00000128,01,004,004,016,016
0000000,0001576,0000441,0001422,0011081,0010980,0010991,0000519,001024,000,000,00000128,01,004,004,016,016
0000000,0000180,0000030,0001004,0004929,0004799,0004849,0000009,001024,001,000,00000128,01,004,004,016,016
