tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover
000,00000000,00584900,01480926,010,00072720,00221097,00003116,001024,000,000,00000008,00293767,01,0000007524937562,00000000,00000000,001,002,016,016
001,00000000,00584303,01013633,010,00072789,00221023,00003134,001024,000,000,00000008,00293766,01,0000007564297290,00000000,00000000,001,002,016,016
002,00000000,00585129,01041822,010,00072387,00221374,00003181,001024,000,000,00000008,00293729,01,0000007472938167,00000000,00000000,001,002,016,016
003,00000000,00586640,01149964,010,00073413,00221149,00003165,001024,000,000,00000008,00294531,01,0000007577818138,00000000,00000000,001,002,016,016
004,00000000,00584327,00000000,010,00073217,00220735,00003222,001024,000,000,00000008,00293904,01,0000007529036287,00000000,00000000,001,002,016,016
005,00000000,00585688,00000000,010,00072947,00221626,00003165,001024,000,000,00000008,00294537,01,0000007351960848,00000000,00000000,001,002,016,016
006,00000000,00584978,00000000,010,00073075,00221224,00003108,001024,000,000,00000008,00294257,01,0000007519407124,00000000,00000000,001,002,016,016
007,00000000,00586172,00000000,010,00072663,00220718,00003125,001024,000,000,00000008,00293351,01,0000007209377338,00000000,00000000,001,002,016,016
008,00000000,00560736,00000000,010,00069798,00212099,00003086,001024,000,000,00000008,00281865,01,0000000801159430,00000000,00000000,001,002,016,016
009,00000000,00582497,00000000,010,00072493,00219925,00003172,001024,000,000,00000008,00292380,01,0000007368082462,00000000,00000000,001,002,016,016
010,00000000,00584125,00000000,010,00072772,00220881,00003192,001024,000,000,00000008,00293615,01,0000007229726301,00000000,00000000,001,002,016,016
011,00000000,00582799,00000000,010,00072714,00220411,00003246,001024,000,000,00000008,00293093,01,0000007495318939,00000000,00000000,001,002,016,016
012,00000000,00583281,00000000,010,00073073,00220582,00003225,001024,000,000,00000008,00293622,01,0000007009275836,00000000,00000000,001,002,016,016
013,00000000,00582985,00000000,010,00071911,00221285,00003161,001024,000,000,00000008,00293158,01,0000007154450606,00000000,00000000,001,002,016,016
014,00000000,00582540,00000000,010,00072401,00220089,00003180,001024,000,000,00000008,00292458,01,0000007500641640,00000000,00000000,001,002,016,016
015,00000000,00585272,00000000,010,00072918,00221423,00003172,001024,000,000,00000008,00294312,01,0000007331370087,00000000,00000000,001,002,016,016
000,00000000,00651517,01322206,010,00057390,00269579,00003949,001024,000,001,00000008,00326910,01,0000008311719363,00000000,00000000,001,002,016,016
001,00000000,00652560,01336149,010,00056904,00271023,00003881,001024,000,001,00000008,00327879,01,0000008374155853,00000000,00000000,001,002,016,016
002,00000000,00652581,01366176,010,00057274,00270365,00003899,001024,000,001,00000008,00327578,01,0000008299947472,00000000,00000000,001,002,016,016
003,00000000,00652756,01211069,010,00057513,00270489,00003881,001024,000,001,00000008,00327948,01,0000008305434167,00000000,00000000,001,002,016,016
004,00000000,00652029,00000000,010,00057263,00270200,00003850,001024,000,001,00000008,00327420,01,0000008289171253,00000000,00000000,001,002,016,016
005,00000000,00652189,00000000,010,00056936,00270560,00003859,001024,000,001,00000008,00327451,01,0000008210389021,00000000,00000000,001,002,016,016
006,00000000,00652157,00000000,010,00057175,00270313,00003812,001024,000,001,00000008,00327434,01,0000008328065888,00000000,00000000,001,002,016,016
007,00000000,00651415,00000000,010,00056737,00270812,00003968,001024,000,001,00000008,00327515,01,0000008042979215,00000000,00000000,001,002,016,016
008,00000000,00653255,00000000,010,00057293,00271311,00003957,001024,000,001,00000008,00328561,01,0000008369502387,00000000,00000000,001,002,016,016
009,00000000,00652449,00000000,010,00057092,00271376,00003924,001024,000,001,00000008,00328418,01,0000008039167547,00000000,00000000,001,002,016,016
010,00000000,00653781,00000000,010,00057549,00271414,00003979,001024,000,001,00000008,00328911,01,0000008042668659,00000000,00000000,001,002,016,016
011,00000000,00627418,00000000,010,00054568,00260890,00003739,001024,000,001,00000008,00315412,01,0000000916671272,00000000,00000000,001,002,016,016
012,00000000,00653157,00000000,010,00056986,00271118,00003860,001024,000,001,00000008,00328066,01,0000007694884409,00000000,00000000,001,002,016,016
013,00000000,00653541,00000000,010,00057316,00270969,00003827,001024,000,001,00000008,00328240,01,0000007832628731,00000000,00000000,001,002,016,016
014,00000000,00652790,00000000,010,00057049,00271009,00003859,001024,000,001,00000008,00328016,01,0000008092409636,00000000,00000000,001,002,016,016
015,00000000,00657058,00000000,010,00057728,00272152,00003986,001024,000,001,00000008,00329841,01,0000008098228373,00000000,00000000,001,002,016,016
