tid,loop_in_cs,tp,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,numa,cache_misses,c_ho,c_hod,cnNR,mnNR,threadNR,maxHandover
000,00000000,00553033,00004298,010,00319617,00011819,00000000,001024,000,000,00001024,00278450,01,0000021255096085,00000000,00000000,004,002,016,016
001,00000000,00554790,00003211,010,00319248,00011586,00000000,001024,000,000,00001024,00278955,01,0000021280625267,00000000,00000000,004,002,016,016
002,00000000,00554282,00002799,010,00318205,00011722,00000000,001024,000,000,00001024,00279234,01,0000021066500008,00000000,00000000,004,002,016,016
003,00000000,00552798,00002638,010,00319777,00011714,00000000,001024,000,000,00001024,00278473,01,0000021355625070,00000000,00000000,004,002,016,016
004,00000000,00553608,00012436,010,00318519,00011744,00000000,001024,000,000,00001024,00278602,01,0000021041314935,00000000,00000000,004,002,016,016
005,00000000,00551949,00003349,010,00318542,00011640,00000000,001024,000,000,00001024,00277788,01,0000021170108052,00000000,00000000,004,002,016,016
006,00000000,00549694,00002992,010,00317513,00011769,00000000,001024,000,000,00001024,00276849,01,0000020660453500,00000000,00000000,004,002,016,016
007,00000000,00551533,00003500,010,00318073,00011790,00000000,001024,000,000,00001024,00277549,01,0000021275169612,00000000,00000000,004,002,016,016
008,00000000,00550913,00002655,010,00317980,00011836,00000000,001024,000,000,00001024,00277453,01,0000021269933954,00000000,00000000,004,002,016,016
009,00000000,00525147,00002740,010,00301442,00011343,00000000,001024,000,000,00001024,00263911,01,0000002765532219,00000000,00000000,004,002,016,016
010,00000000,00551379,00004215,010,00317742,00011827,00000000,001024,000,000,00001024,00277757,01,0000020687305680,00000000,00000000,004,002,016,016
011,00000000,00550511,00008644,010,00317585,00011811,00000000,001024,000,000,00001024,00277182,01,0000021391189921,00000000,00000000,004,002,016,016
012,00000000,00550769,00004275,010,00318098,00011683,00000000,001024,000,000,00001024,00277641,01,0000020824444559,00000000,00000000,004,002,016,016
